Liczba watkow 4
name;n;r;time
IJK_IKJ_1700_85;1700;85;  0.6240
IJK_IKJ_1700_100;1700;100;  0.6580
IJK_IKJ_1700_170;1700;170;  0.7040
IJK_IKJ_1700_340;1700;340;  0.8880
IJK_IKJ_1700_425;1700;425;  0.5690
IJK_IKJ_1800_10;1800;10;  0.9260
IJK_IKJ_1800_12;1800;12;  0.7810
IJK_IKJ_1800_15;1800;15;  0.7940
IJK_IKJ_1800_18;1800;18;  0.7340
IJK_IKJ_1800_20;1800;20;  0.7160
IJK_IKJ_1800_24;1800;24;  0.6890
IJK_IKJ_1800_25;1800;25;  0.7960
IJK_IKJ_1800_30;1800;30;  0.6680
IJK_IKJ_1800_36;1800;36;  0.6720
IJK_IKJ_1800_40;1800;40;  0.6900
IJK_IKJ_1800_45;1800;45;  0.7580
IJK_IKJ_1800_50;1800;50;  0.6550
IJK_IKJ_1800_60;1800;60;  0.6510
IJK_IKJ_1800_72;1800;72;  0.7010
IJK_IKJ_1800_75;1800;75;  0.6530
IJK_IKJ_1800_90;1800;90;  0.8240
IJK_IKJ_1800_100;1800;100;  0.7360
IJK_IKJ_1800_120;1800;120;  0.7080
IJK_IKJ_1800_150;1800;150;  0.6730
IJK_IKJ_1800_180;1800;180;  0.8110
IJK_IKJ_1800_200;1800;200;  0.8900
IJK_IKJ_1800_225;1800;225;  0.6830
IJK_IKJ_1800_300;1800;300;  0.9110
IJK_IKJ_1800_360;1800;360;  1.1280
IJK_IKJ_1800_450;1800;450;  0.7210
IJK_IKJ_1900_10;1900;10;  1.4770
IJK_IKJ_1900_19;1900;19;  0.9770
IJK_IKJ_1900_20;1900;20;  1.0090
IJK_IKJ_1900_25;1900;25;  0.8540
IJK_IKJ_1900_38;1900;38;  0.7870
IJK_IKJ_1900_50;1900;50;  0.9170
IJK_IKJ_1900_76;1900;76;  0.9100
IJK_IKJ_1900_95;1900;95;  0.7910
IJK_IKJ_1900_100;1900;100;  0.8510
IJK_IKJ_1900_190;1900;190;  0.9460
IJK_IKJ_1900_380;1900;380;  1.2220
IJK_IKJ_1900_475;1900;475;  0.7980
IJK_IKJ_2000_10;2000;10;  1.3220
IJK_IKJ_2000_16;2000;16;  0.9930
IJK_IKJ_2000_20;2000;20;  0.9640
IJK_IKJ_2000_25;2000;25;  0.9370
IJK_IKJ_2000_40;2000;40;  0.9120
IJK_IKJ_2000_50;2000;50;  0.8440
IJK_IKJ_2000_80;2000;80;  0.9850
IJK_IKJ_2000_100;2000;100;  0.9350
IJK_IKJ_2000_125;2000;125;  0.9480
IJK_IKJ_2000_200;2000;200;  1.1110
IJK_IKJ_2000_250;2000;250;  0.9360
IJK_IKJ_2000_400;2000;400;  1.4770
IJK_IKJ_2000_500;2000;500;  0.9360
SEQ_IKJ_100;100;0;  0.0000
IJK_100;100;0;  0.0010
SEQ_IKJ_200;200;0;  0.0020
IJK_200;200;0;  0.0020
SEQ_IKJ_300;300;0;  0.0040
IJK_300;300;0;  0.0070
SEQ_IKJ_400;400;0;  0.0110
IJK_400;400;0;  0.0190
SEQ_IKJ_500;500;0;  0.0230
IJK_500;500;0;  0.0360
SEQ_IKJ_600;600;0;  0.0610
IJK_600;600;0;  0.0620
SEQ_IKJ_700;700;0;  0.0900
IJK_700;700;0;  0.0990
SEQ_IKJ_800;800;0;  0.0840
IJK_800;800;0;  0.1490
SEQ_IKJ_900;900;0;  0.1170
IJK_900;900;0;  0.2120
SEQ_IKJ_1000;1000;0;  0.1790
IJK_1000;1000;0;  0.3050
SEQ_IKJ_1100;1100;0;  0.2400
IJK_1100;1100;0;  0.4270
