Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ijk_ikj_1800_360,28.0762E+9,9.8928E+9,8.0706E+9,320E+3,40E+3,10.31032E+9,175.48E+6,140.22E+6,35.112E+6,34.628E+6,368E+3,1.0741,1.038,1.203,ijk_ikj,1800,360
ikj_1800,8.5206E+9,5.091E+9,3.8958E+9,3.3E+6,0,1.65974E+9,211.24E+6,156.756E+6,56.364E+6,16.432E+6,39.924E+6,1.3226,1.31,1.345,ikj,1800,0
ijk_ikj_1900_475,33.0858E+9,11.5766E+9,9.55E+9,720E+3,40E+3,11.9716E+9,212.7E+6,187.708E+6,31.8E+6,30.528E+6,1.048E+6,0.7972,0.781,0.839,ijk_ikj,1900,475
ijk_ikj_1900_380,32.9912E+9,11.3528E+9,9.2478E+9,380E+3,0,11.93078E+9,212E+6,179.292E+6,36.68E+6,36.076E+6,568E+3,1.2397,1.22,1.353,ijk_ikj,1900,380
ikj_1900,10.061E+9,6.0406E+9,4.6418E+9,3.88E+6,0,1.9862E+9,251.34E+6,180.308E+6,67.916E+6,19.212E+6,48.66E+6,1.5718,1.553,1.632,ikj,1900,0
ijk_ikj_2000_50,43.119E+9,12.8344E+9,10.6206E+9,3.32E+6,20E+3,16.0825E+9,32.7E+6,21.804E+6,8.296E+6,4.776E+6,3.092E+6,0.9202,0.843,1.034,ijk_ikj,2000,50
ijk_ikj_2000_400,38.4624E+9,13.2852E+9,10.8364E+9,720E+3,0,13.94674E+9,252.22E+6,216.776E+6,38.956E+6,38.308E+6,600E+3,1.4423,1.412,1.497,ijk_ikj,2000,400
ikj_2000,11.5472E+9,6.997E+9,5.4312E+9,4.6E+6,20E+3,2.23062E+9,293.68E+6,209.06E+6,83.468E+6,23.384E+6,60.092E+6,1.8411,1.817,1.879,ikj,2000,0
ijk_ikj_2100_60,47.4598E+9,15.7522E+9,12.985E+9,2.96E+6,20E+3,18.08754E+9,71.48E+6,57.88E+6,8.296E+6,3.972E+6,3.948E+6,1.0763,1.002,1.263,ijk_ikj,2100,60
ijk_ikj_2100_420,44.502E+9,16.0082E+9,13.0376E+9,1.18E+6,20E+3,16.13004E+9,278.6E+6,241.484E+6,45.44E+6,44.384E+6,1.02E+6,1.6555,1.627,1.812,ijk_ikj,2100,420
