Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_450_75$omp$1	OMPMul.exe	82	554	7	478	915	28	1	12	6
multiply_matrices_ijk_ikj_450_90$omp$1	OMPMul.exe	85	517	15	435	868	22	1	15	9
multiply_matrices_ijk_ikj_500_100$omp$1	OMPMul.exe	109	715	26	592	1170	28	1	18	14
multiply_matrices_ijk_ikj_500_125$omp$1	OMPMul.exe	114	681	48	604	1142	25	1	11	7
multiply_matrices_ijk_ikj_500_250$omp$1	OMPMul.exe	105	697	29	565	1138	13	1	7	5
multiply_matrices_ijk_ikj_500_50$omp$1	OMPMul.exe	105	706	8	572	1286	54	1	12	6
multiply_matrices_ijk_ikj_500_500$omp$1	OMPMul.exe	121	746	18	650	1225	3	4	39	30
multiply_matrices_ijk_ikj_50_50$omp$1	OMPMul.exe		1		2	3				
multiply_matrices_ijk_ikj_550_110$omp$1	OMPMul.exe	147	954	52	824	1604	35		25	16
multiply_matrices_ijk_ikj_550_275$omp$1	OMPMul.exe	138	900	40	740	1484	18	2	13	6
multiply_matrices_ijk_ikj_550_50$omp$1	OMPMul.exe	137	981	18	773	1767	69	3	18	8
multiply_matrices_ijk_ikj_550_55$omp$1	OMPMul.exe	164	996	15	866	1695	66	1	15	5
multiply_matrices_ijk_ikj_550_550$omp$1	OMPMul.exe	155	948	34	849	1543	2	6	31	25
multiply_matrices_ijk_ikj_600_100$omp$1	OMPMul.exe	189	1247	41	1053	2033	50	2	18	10
multiply_matrices_ijk_ikj_600_120$omp$1	OMPMul.exe	197	1213	86	1093	2006	43	2	29	21
multiply_matrices_ijk_ikj_600_150$omp$1	OMPMul.exe	196	1231	75	1074	2036	33		21	10
multiply_matrices_ijk_ikj_600_200$omp$1	OMPMul.exe	189	1191	57	983	1927	30	3	14	8
multiply_matrices_ijk_ikj_600_300$omp$1	OMPMul.exe	187	1241	47	1036	2021	19		12	7
multiply_matrices_ijk_ikj_600_50$omp$1	OMPMul.exe	177	1197	26	985	2170	95	2	16	8
multiply_matrices_ijk_ikj_600_60$omp$1	OMPMul.exe	207	1333	18	1153	2211	74	2	21	9
multiply_matrices_ijk_ikj_600_600$omp$1	OMPMul.exe	206	1280	43	1156	2081	3	8	30	25
multiply_matrices_ijk_ikj_600_75$omp$1	OMPMul.exe	200	1337	25	1129	2247	60	2	23	11
multiply_matrices_ijk_ikj_650_130$omp$1	OMPMul.exe	245	1519	103	1332	2508	52		36	20
multiply_matrices_ijk_ikj_650_325$omp$1	OMPMul.exe	233	1456	51	1214	2377	24	2	13	8
multiply_matrices_ijk_ikj_650_50$omp$1	OMPMul.exe	233	1665	28	1338	3038	111	4	14	10
multiply_matrices_ijk_ikj_650_65$omp$1	OMPMul.exe	263	1631	28	1420	2752	93	1	33	16
