Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_850_850	351.00	385166666.67	1500000.00	509583333.33	626583333.33	141666.67	200000.00	8300000.00	266666.67	0.3677
ijk_ikj_900_50	390.33	536416666.67	1608333.33	587750000.00	1156583333.33	4675000.00	116666.67	1700000.00	483333.33	0.4123
ijk_ikj_900_60	359.00	449166666.67	1358333.33	541666666.67	1114333333.33	5016666.67	108333.33	1666666.67	466666.67	0.3850
ijk_ikj_900_75	393.00	562583333.33	1241666.67	547333333.33	973083333.33	4358333.33	75000.00	1716666.67	733333.33	0.4153
ijk_ikj_900_90	349.33	478250000.00	1758333.33	496250000.00	946416666.67	3575000.00	58333.33	1633333.33	550000.00	0.3667
ijk_ikj_900_100	353.00	398500000.00	4258333.33	509166666.67	952500000.00	3208333.33	66666.67	3633333.33	750000.00	0.3720
ijk_ikj_900_150	412.33	440000000.00	5558333.33	528750000.00	782583333.33	2250000.00	50000.00	13083333.33	600000.00	0.4453
ijk_ikj_900_180	331.00	349833333.33	5016666.67	455583333.33	746166666.67	1700000.00	25000.00	10266666.67	583333.33	0.3853
ijk_ikj_900_225	428.00	527250000.00	4491666.67	582333333.33	791250000.00	1500000.00	16666.67	12516666.67	533333.33	0.4503
ijk_ikj_900_300	318.67	328416666.67	3383333.33	407000000.00	706083333.33	1108333.33	58333.33	10450000.00	500000.00	0.3550
ijk_ikj_900_450	406.33	416416666.67	2775000.00	581083333.33	721250000.00	650000.00	33333.33	7133333.33	566666.67	0.4753
ijk_ikj_900_900	347.67	346416666.67	1641666.67	507500000.00	689333333.33	108333.33	225000.00	7183333.33	383333.33	0.3880
ijk_ikj_950_50	467.00	621583333.33	2033333.33	689083333.33	1321750000.00	7400000.00	200000.00	2750000.00	1083333.33	0.4900
ijk_ikj_950_95	487.33	702583333.33	3050000.00	690416666.67	1212250000.00	4225000.00	100000.00	2883333.33	933333.33	0.5083
ijk_ikj_950_190	494.33	528083333.33	5808333.33	635666666.67	951416666.67	2308333.33	25000.00	16766666.67	1000000.00	0.5130
