Liczba watkow 4
name;n;r;time
IJK_IKJ_200_10;200;10;  0.0020
IJK_IKJ_200_20;200;20;  0.0020
IJK_IKJ_200_25;200;25;  0.0020
IJK_IKJ_200_40;200;40;  0.0030
IJK_IKJ_200_50;200;50;  0.0000
IJK_IKJ_250_10;250;10;  0.0040
IJK_IKJ_250_25;250;25;  0.0020
IJK_IKJ_250_50;250;50;  0.0020
IJK_IKJ_300_10;300;10;  0.0040
IJK_IKJ_300_12;300;12;  0.0040
IJK_IKJ_300_15;300;15;  0.0030
IJK_IKJ_300_20;300;20;  0.0040
IJK_IKJ_300_25;300;25;  0.0030
IJK_IKJ_300_30;300;30;  0.0040
IJK_IKJ_300_50;300;50;  0.0040
IJK_IKJ_300_60;300;60;  0.0040
IJK_IKJ_300_75;300;75;  0.0030
IJK_IKJ_350_10;350;10;  0.0070
IJK_IKJ_350_14;350;14;  0.0060
IJK_IKJ_350_25;350;25;  0.0050
IJK_IKJ_350_35;350;35;  0.0060
IJK_IKJ_350_50;350;50;  0.0050
IJK_IKJ_350_70;350;70;  0.0070
IJK_IKJ_400_10;400;10;  0.0100
IJK_IKJ_400_16;400;16;  0.0070
IJK_IKJ_400_20;400;20;  0.0070
IJK_IKJ_400_25;400;25;  0.0070
IJK_IKJ_400_40;400;40;  0.0080
IJK_IKJ_400_50;400;50;  0.0070
IJK_IKJ_400_80;400;80;  0.0110
IJK_IKJ_400_100;400;100;  0.0070
IJK_IKJ_450_10;450;10;  0.0210
IJK_IKJ_450_15;450;15;  0.0250
IJK_IKJ_450_18;450;18;  0.0120
IJK_IKJ_450_25;450;25;  0.0140
IJK_IKJ_450_30;450;30;  0.0110
IJK_IKJ_450_45;450;45;  0.0230
IJK_IKJ_450_50;450;50;  0.0130
IJK_IKJ_450_75;450;75;  0.0160
IJK_IKJ_450_90;450;90;  0.0160
IJK_IKJ_500_10;500;10;  0.0200
IJK_IKJ_500_20;500;20;  0.0170
IJK_IKJ_500_25;500;25;  0.0140
IJK_IKJ_500_50;500;50;  0.0310
IJK_IKJ_500_100;500;100;  0.0220
IJK_IKJ_500_125;500;125;  0.0140
IJK_IKJ_550_10;550;10;  0.0360
IJK_IKJ_550_11;550;11;  0.0270
IJK_IKJ_550_22;550;22;  0.0220
IJK_IKJ_550_25;550;25;  0.0200
IJK_IKJ_550_50;550;50;  0.0190
IJK_IKJ_550_55;550;55;  0.0210
IJK_IKJ_550_110;550;110;  0.0300
IJK_IKJ_600_10;600;10;  0.0320
