Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1050_21,798800000.0000,661200000.0000,220000.0000,0.0000,946400000.0000,2940000.0000,960000.0000,1840000.0000,1860000.0000,20000.0000,0.1536
ijk_ikj_1050_175,799000000.0000,659800000.0000,20000.0000,0.0000,842800000.0000,16000000.0000,12480000.0000,2370000.0000,2390000.0000,60000.0000,0.1806
ijk_ikj_1050_150,746800000.0000,618800000.0000,0.0000,0.0000,806400000.0000,15900000.0000,15000000.0000,1450000.0000,1390000.0000,20000.0000,0.1514
ijk_ikj_1050_15,878600000.0000,723800000.0000,120000.0000,0.0000,1038400000.0000,3820000.0000,940000.0000,2960000.0000,2870000.0000,20000.0000,0.1557
ijk_ikj_1050_14,841000000.0000,695800000.0000,120000.0000,0.0000,983200000.0000,3780000.0000,700000.0000,3170000.0000,3170000.0000,20000.0000,0.1585
ijk_ikj_1050_105,771000000.0000,638600000.0000,100000.0000,0.0000,802000000.0000,18480000.0000,18000000.0000,570000.0000,540000.0000,60000.0000,0.1628
ijk_ikj_1050_10,1070600000.0000,881000000.0000,660000.0000,0.0000,1002000000.0000,7260000.0000,2800000.0000,5050000.0000,4980000.0000,40000.0000,0.1819
ijk_ikj_100_25,600000.0000,1400000.0000,0.0000,0.0000,800000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
ijk_ikj_100_20,400000.0000,400000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ijk_ikj_100_10,600000.0000,600000.0000,0.0000,0.0000,800000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005
ijk_ikj_1000_50,591800000.0000,490800000.0000,40000.0000,0.0000,834400000.0000,1440000.0000,1000000.0000,360000.0000,360000.0000,20000.0000,0.1195
ijk_ikj_1000_40,636200000.0000,526600000.0000,20000.0000,0.0000,804000000.0000,1280000.0000,760000.0000,490000.0000,440000.0000,40000.0000,0.1266
ijk_ikj_1000_250,681600000.0000,562000000.0000,20000.0000,0.0000,687600000.0000,12700000.0000,9940000.0000,3190000.0000,3150000.0000,20000.0000,0.1241
ijk_ikj_1000_25,645000000.0000,533800000.0000,60000.0000,0.0000,778800000.0000,1820000.0000,780000.0000,1210000.0000,1240000.0000,40000.0000,0.1246
ijk_ikj_1000_200,716800000.0000,587800000.0000,20000.0000,0.0000,697600000.0000,12400000.0000,10200000.0000,2470000.0000,2450000.0000,100000.0000,0.1922
