Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
multiply_matrices_ijk_ikj_1050_175(void)	OMPMul.exe	1010	4844	300	6271	60134	62	4	41248	38	785	11
multiply_matrices_ijk_ikj_850_85(void)	OMPMul.exe	967	4594	215	5863	56065	101	3	39775	46	282	15
multiply_matrices_ikj_1000(void)	OMPMul.exe	946	4014	120	5407	44937	6	8	34662	78	613	32
multiply_matrices_ijk_ikj_1000_125(void)	OMPMul.exe	942	4273	320	5023	53060	74	2	35632	42	645	11
Unknown Module (PID 7664)!0x2dd94341	Unknown Module (PID 7664)	926	304	1301	5945	3577	184	466	2253	13	672	5
multiply_matrices_ikj_950(void)	OMPMul.exe	924	3430	91	4776	39309	5	8	29261	120	624	45
multiply_matrices_ijk_ikj_1000_500(void)	OMPMul.exe	917	4044	149	5445	50026	15	17	34985	54	605	18
Unknown Module (PID 7664)!0x2ddaff1b	Unknown Module (PID 7664)	901	1866	190	4902	24950	6	19	18912	369	394	118
Unknown Module (PID 7664)!0x2dd94079	Unknown Module (PID 7664)	886	268	1087	5273	4241	266	367	2150	10	595	3
Unknown Module (PID 7664)!0x2dd9408a	Unknown Module (PID 7664)	886	284	1095	5390	3703	262	387	2229	14	620	3
Unknown Module (PID 7664)!0x2dd940ac	Unknown Module (PID 7664)	882	254	1230	5537	2960	261	356	2032	15	638	2
multiply_matrices_ijk_ikj_1000_200(void)	OMPMul.exe	875	4014	221	5289	50742	55	1	35630	54	697	10
multiply_matrices_ijk_ikj_1000_250(void)	OMPMul.exe	862	4092	219	5207	51271	52	3	35258	126	708	35
Unknown Module (PID 7664)!0x2dd940f0	Unknown Module (PID 7664)	857	278	1108	5255	3205	250	383	2165	10	579	2
Unknown Module (PID 7664)!0x2dd9405d	Unknown Module (PID 7664)	856	248	1049	4916	5339	251	276	2003	17	556	6
Unknown Module (PID 7664)!0x2dd9409b	Unknown Module (PID 7664)	856	285	1086	5481	3245	280	390	2148	17	654	7
Unknown Module (PID 7664)!0x2dd940bd	Unknown Module (PID 7664)	846	228	1123	5528	3288	274	374	1926	13	681	4
Unknown Module (PID 7664)!0x2dd940ce	Unknown Module (PID 7664)	831	223	1152	5434	3320	206	365	1811	8	586	7
Unknown Module (PID 7664)!0x2dd940df	Unknown Module (PID 7664)	810	218	1077	5295	3281	193	355	1620	12	596	5
multiply_matrices_ijk_ikj_950_95(void)	OMPMul.exe	783	3420	176	4768	45474	81	3	31863	31	303	11
multiply_matrices_ijk_ikj_950_50(void)	OMPMul.exe	770	3429	69	4116	46858	132	4	31948	48	140	13
Unknown Module (PID 7664)!0x2ddacbfb	Unknown Module (PID 7664)	746	1576	217	3848	20306	4	26	15213	184	293	47
multiply_matrices_ijk_550(void)	OMPMul.exe	742	378	1669	4073	6338	1160	253	3773	24	1167	7
Unknown Module (PID 7664)!0x2dd94061	Unknown Module (PID 7664)	712	223	1026	4542	3009	185	331	1868	17	541	5
multiply_matrices_ikj_900(void)	OMPMul.exe	708	2831	94	4032	33436	4	7	24893	23	404	5
Unknown Module (PID 7664)!0x2ddb553c	Unknown Module (PID 7664)	692	1938	434	4142	27629	21	63	18564	26	248	8
Unknown Module (PID 7664)!0x2ddb32ac	Unknown Module (PID 7664)	688	1866	428	3855	26183	37	51	19051	22	294	8
Unknown Module (PID 7664)!0x2ddb6acf	Unknown Module (PID 7664)	685	3272	18	3714	42302	35		32340	22	104	4
multiply_matrices_ijk_ikj_900_450(void)	OMPMul.exe	678	3019	118	3989	36779	11	8	25599	23	430	7
Unknown Module (PID 7664)!0x2dd93ddd	Unknown Module (PID 7664)	678	199	933	3979	2567	234	255	1538	5	507	5
multiply_matrices_ijk_ikj_900_150(void)	OMPMul.exe	668	2844	197	3791	37242	46		26873	22	521	10
Unknown Module (PID 7664)!0x2ddb7c80	Unknown Module (PID 7664)	663	3498	57	4160	42510	13		34334	26	593	7
