Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_500(void)	OMPMul.exe	451	996	1794	2775	1766	2693	1	44	25
multiply_matrices_ijk_ikj_800_100(void)	OMPMul.exe	434	2140	311	2555	4365	159	3	20	10
clean_1100(void)	OMPMul.exe	398	2323	13	2489	6829			30	4
clean_1250(void)	OMPMul.exe	379	2042	9	2200	5329			23	14
clean_900(void)	OMPMul.exe	370	1861	8	2129	5684			34	11
multiply_matrices_ijk_ikj_800_80(void)	OMPMul.exe	367	1860	104	2039	3552	188	1	11	3
clean_1150(void)	OMPMul.exe	333	1750	8	1905	5272			13	5
multiply_matrices_ikj_700(void)	OMPMul.exe	310	1384	55	1868	2297	14	2	26	15
clean_1000(void)	OMPMul.exe	309	1698	8	1865	4406			18	5
multiply_matrices_ijk_ikj_750_375(void)	OMPMul.exe	287	1392	84	1750	1713	16	2	8	2
multiply_matrices_ijk_450(void)	OMPMul.exe	284	705	385	1684	1249	1753		22	10
multiply_matrices_ikj_650(void)	OMPMul.exe	281	1312	45	1677	1726	12		20	12
multiply_matrices_ijk_ikj_750_125(void)	OMPMul.exe	274	1348	169	1553	1825	48		14	8
clean_1450(void)	OMPMul.exe	265	1549	13	1709	4502			8	1
multiply_matrices_ijk_ikj_750_750(void)	OMPMul.exe	245	1134	35	1488	1638	4	4	28	16
multiply_matrices_ijk_ikj_800_50(void)	OMPMul.exe	232	1462	51	1429	2666	13	4	26	11
multiply_matrices_ijk_ikj_750_150(void)	OMPMul.exe	232	1159	146	1352	1751	40	1	5	2
clean_950(void)	OMPMul.exe	225	1135	10	1312	3315			13	6
multiply_matrices_ijk_ikj_750_75(void)	OMPMul.exe	211	1277	53	1167	1860	85	3	8	6
multiply_matrices_ijk_400(void)	OMPMul.exe	211	499	167	1285	878	1070		25	16
multiply_matrices_ijk_ikj_750_250(void)	OMPMul.exe	206	1076	100	1176	1602	24		7	3
multiply_matrices_ikj_600(void)	OMPMul.exe	198	872	29	1217	1440	8		11	5
multiply_matrices_ijk_ikj_700_175(void)	OMPMul.exe	195	1065	104	1154	1380	27		2	2
multiply_matrices_ijk_ikj_750_50(void)	OMPMul.exe	189	1156	48	1110	2105	8	2	14	8
clean_800(void)	OMPMul.exe	184	912	6	1054	2663			9	4
clean_850(void)	OMPMul.exe	180	935	5	1015	2728			12	4
multiply_matrices_ijk_ikj_700_140(void)	OMPMul.exe	173	733	123	950	1370	36	2	5	4
multiply_matrices_ikj_550(void)	OMPMul.exe	171	789	18	997	1059	5		14	7
multiply_matrices_ijk_ikj_700_350(void)	OMPMul.exe	168	864	63	1054	1298	13	1	7	5
multiply_matrices_ijk_ikj_700_700(void)	OMPMul.exe	161	639	24	916	1154	7	1	6	3
multiply_matrices_ijk_ikj_700_70(void)	OMPMul.exe	160	990	24	917	1742	65	1	6	2
multiply_matrices_ijk_ikj_650_650(void)	OMPMul.exe	155	699	19	905	1010	5	2	2	1
multiply_matrices_ijk_ikj_650_325(void)	OMPMul.exe	150	873	56	890	1089	10		7	2
multiply_matrices_ijk_ikj_700_50(void)	OMPMul.exe	149	943	30	902	1710	6		5	4
multiply_matrices_ijk_ikj_650_130(void)	OMPMul.exe	140	710	99	843	1070	28	2	4	3
multiply_matrices_ijk_ikj_700_100(void)	OMPMul.exe	134	695	49	764	1435	47	1	3	1
multiply_matrices_ijk_350(void)	OMPMul.exe	133	313	155	707	553	661	1	15	7
multiply_matrices_ijk_ikj_650_65(void)	OMPMul.exe	127	885	16	771	1274	4		4	2
multiply_matrices_ijk_ikj_650_50(void)	OMPMul.exe	121	733	21	689	1341	5		5	2
multiply_matrices_ijk_ikj_600_150(void)	OMPMul.exe	111	582	73	663	905	17		5	3
multiply_matrices_ikj_500(void)	OMPMul.exe	111	439	11	601	729	4		16	8
multiply_matrices_ijk_ikj_600_600(void)	OMPMul.exe	109	446	15	635	799	4	2	5	2
clean_750(void)	OMPMul.exe	108	533	1	585	1474			7	4
multiply_matrices_ijk_ikj_600_75(void)	OMPMul.exe	107	702	28	603	985	19	1	5	2
multiply_matrices_ijk_ikj_600_120(void)	OMPMul.exe	106	450	93	607	807	21		2	1
multiply_matrices_ijk_ikj_600_100(void)	OMPMul.exe	96	457	65	549	943	25	1	4	1
multiply_matrices_ijk_ikj_600_200(void)	OMPMul.exe	94	391	52	481	695	14		3	1
multiply_matrices_ikj_450(void)	OMPMul.exe	94	477	16	612	629	3	1	6	3
multiply_matrices_ijk_ikj_550_550(void)	OMPMul.exe	93	437	17	564	633	3		2	
multiply_matrices_ijk_ikj_600_60(void)	OMPMul.exe	92	535	23	571	1147	2		3	2
multiply_matrices_ijk_ikj_600_50(void)	OMPMul.exe	92	533	19	502	972	3	2	4	2
multiply_matrices_ijk_ikj_550_275(void)	OMPMul.exe	90	503	39	517	613	7		4	3
multiply_matrices_ijk_ikj_550_55(void)	OMPMul.exe	90	615	14	529	1025	1	1	3	
clean_700(void)	OMPMul.exe	87	509	3	568	1346			7	3
multiply_matrices_ijk_ikj_600_300(void)	OMPMul.exe	87	466	45	538	854	9		4	2
multiply_matrices_ijk_ikj_550_110(void)	OMPMul.exe	87	435	50	490	703	16		1	2
clean_600(void)	OMPMul.exe	81	426	1	494	1329			5	1
multiply_matrices_ijk_300(void)	OMPMul.exe	77	215	73	484	383	331	1	4	2
multiply_matrices_ijk_ikj_550_50(void)	OMPMul.exe	75	452	16	433	832	2			1
multiply_matrices_ijk_ikj_500_125(void)	OMPMul.exe	74	392	49	440	533	9	1	4	1
clean_650(void)	OMPMul.exe	67	356	2	409	1126			6	3
multiply_matrices_ijk_ikj_500_500(void)	OMPMul.exe	59	229	8	323	421	3		1	1
multiply_matrices_ijk_ikj_500_250(void)	OMPMul.exe	59	309	27	328	468	5	1	2	2
multiply_matrices_ikj_400(void)	OMPMul.exe	59	242	6	327	397	3		6	3
multiply_matrices_ijk_ikj_500_50(void)	OMPMul.exe	54	308	9	291	550	2		3	
multiply_matrices_ijk_ikj_450_150(void)	OMPMul.exe	53	278	38	323	425	4		2	1
multiply_matrices_ijk_ikj_450_225(void)	OMPMul.exe	51	248	23	260	305	3		1	
multiply_matrices_ijk_ikj_500_100(void)	OMPMul.exe	48	269	14	275	530	13		5	2
multiply_matrices_ijk_ikj_450_450(void)	OMPMul.exe	48	229	6	290	334	3		2	
clean_550(void)	OMPMul.exe	47	260	1	270	647			9	1
multiply_matrices_ijk_250(void)	OMPMul.exe	45	132	44	297	229	156		2	1
clean_500(void)	OMPMul.exe	43	204	1	213	514			2	4
multiply_matrices_ijk_ikj_450_75(void)	OMPMul.exe	43	246	3	220	369			2	1
multiply_matrices_ijk_ikj_450_90(void)	OMPMul.exe	38	281	9	258	466				
multiply_matrices_ijk_ikj_450_50(void)	OMPMul.exe	38	228	8	214	419			1	2
clean_450(void)	OMPMul.exe	35	172	1	205	496			5	2
multiply_matrices_ikj_350(void)	OMPMul.exe	35	216	8	219	307	3		3	2
multiply_matrices_ijk_ikj_400_400(void)	OMPMul.exe	33	141	6	211	242	2			1
multiply_matrices_ijk_ikj_400_200(void)	OMPMul.exe	30	122	18	154	215	3		1	
multiply_matrices_ijk_ikj_400_50(void)	OMPMul.exe	27	160	6	149	288				
multiply_matrices_ijk_ikj_400_100(void)	OMPMul.exe	27	126	13	146	250				
multiply_matrices_ijk_ikj_350_175(void)	OMPMul.exe	27	152	15	160	189	1			
clean_400(void)	OMPMul.exe	26	122	1	146	414	1		2	
multiply_matrices_ikj_300(void)	OMPMul.exe	22	118	1	125	198	2			
multiply_matrices_ijk_200(void)	OMPMul.exe	22	63	44	148	113			3	2
multiply_matrices_ijk_ikj_350_350(void)	OMPMul.exe	21	93	1	104	141	1			
multiply_matrices_ijk_ikj_400_80(void)	OMPMul.exe	21	137	9	153	277				
multiply_matrices_ijk_ikj_350_70(void)	OMPMul.exe	20	102	1	91	185				
multiply_matrices_ijk_ikj_350_50(void)	OMPMul.exe	19	97	4	84	170			2	
clean_350(void)	OMPMul.exe	14	83		105	271			1	
clean_300(void)	OMPMul.exe	14	87		101	227				1
multiply_matrices_ijk_ikj_300_150(void)	OMPMul.exe	14	75	8	89	116	1		1	
multiply_matrices_ikj_250(void)	OMPMul.exe	14	74	3	75	98			3	1
multiply_matrices_ijk_ikj_300_50(void)	OMPMul.exe	13	86	3	84	156				
multiply_matrices_ijk_ikj_300_300(void)	OMPMul.exe	12	59	3	68	110	1		1	1
multiply_matrices_ijk_ikj_300_75(void)	OMPMul.exe	12	76	2	66	112				1
multiply_matrices_ijk_ikj_300_60(void)	OMPMul.exe	12	55	2	56	118			1	
multiply_matrices_ijk_ikj_300_100(void)	OMPMul.exe	10	62	3	63	126				1
multiply_matrices_ijk_ikj_250_125(void)	OMPMul.exe	10	44	6	48	58				
clean_250(void)	OMPMul.exe	9	31		46	95			1	
multiply_matrices_ijk_150(void)	OMPMul.exe	9	32	10	70	57			1	
multiply_matrices_ijk_ikj_250_250(void)	OMPMul.exe	8	32		37	47	1		1	
multiply_matrices_ijk_ikj_250_50(void)	OMPMul.exe	7	47	2	48	88				
clean_200(void)	OMPMul.exe	5	24		32	69				
multiply_matrices_ikj_200(void)	OMPMul.exe	5	30		33	50			1	
multiply_matrices_ijk_ikj_200_50(void)	OMPMul.exe	4	18		21	43			1	
multiply_matrices_ijk_ikj_200_200(void)	OMPMul.exe	3	9	1	10	16				
multiply_matrices_ijk_ikj_200_100(void)	OMPMul.exe	3	11	1	12	23			1	
