Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_300_50,161555555.5556,49777777.7778,42000000.0000,0.0000,0.0000,66488888.8889,155555.5556,50000.0000,16666.6667,11111.1111,0.0000,0.0061
ijk_ikj_300_75,154888888.8889,53111111.1111,42888888.8889,0.0000,0.0000,57488888.8889,466666.6667,427777.7778,22222.2222,5555.5556,0.0000,0.0042
ijk_ikj_300_60,153777777.7778,52666666.6667,43333333.3333,0.0000,0.0000,55622222.2222,155555.5556,127777.7778,27777.7778,16666.6667,0.0000,0.0061
ikj_450,151111111.1111,68222222.2222,56000000.0000,0.0000,0.0000,20555555.5556,1822222.2222,3494444.4444,611111.1111,605555.5556,0.0000,0.0219
ijk_ikj_250_10,140222222.2222,42666666.6667,35111111.1111,0.0000,0.0000,41022222.2222,244444.4444,211111.1111,22222.2222,11111.1111,0.0000,0.0042
ijk_300,106444444.4444,114666666.6667,96000000.0000,0.0000,0.0000,64888888.8889,2844444.4444,1961111.1111,533333.3333,511111.1111,0.0000,0.0090
ikj_400,103777777.7778,40666666.6667,34000000.0000,0.0000,0.0000,25066666.6667,3377777.7778,1755555.5556,300000.0000,300000.0000,0.0000,0.0144
ijk_ikj_250_25,103333333.3333,32444444.4444,26888888.8889,0.0000,0.0000,43666666.6667,111111.1111,61111.1111,11111.1111,5555.5556,0.0000,0.0037
ijk_ikj_250_50,92666666.6667,28888888.8889,23555555.5556,0.0000,0.0000,40755555.5556,22222.2222,16666.6667,5555.5556,5555.5556,0.0000,0.0042
ikj_350,77777777.7778,39555555.5556,32000000.0000,0.0000,0.0000,22755555.5556,1777777.7778,655555.5556,83333.3333,72222.2222,0.0000,0.0114
ijk_ikj_200_10,72000000.0000,22666666.6667,18222222.2222,0.0000,0.0000,22777777.7778,177777.7778,88888.8889,0.0000,0.0000,0.0000,0.0022
ijk_250,61555555.5556,66000000.0000,53777777.7778,0.0000,0.0000,26066666.6667,1177777.7778,1405555.5556,350000.0000,333333.3333,0.0000,0.0051
ijk_ikj_200_25,53333333.3333,15555555.5556,13777777.7778,0.0000,0.0000,17444444.4444,88888.8889,38888.8889,5555.5556,5555.5556,0.0000,0.0018
ijk_ikj_200_20,52000000.0000,16222222.2222,13555555.5556,0.0000,0.0000,19466666.6667,66666.6667,22222.2222,5555.5556,0.0000,0.0000,0.0024
ikj_300,48888888.8889,20222222.2222,16888888.8889,0.0000,0.0000,13600000.0000,1266666.6667,683333.3333,83333.3333,66666.6667,0.0000,0.0072
ijk_ikj_200_50,48000000.0000,16000000.0000,13777777.7778,0.0000,0.0000,16866666.6667,22222.2222,50000.0000,0.0000,0.0000,0.0000,0.0016
ijk_ikj_200_40,47333333.3333,15555555.5556,12666666.6667,0.0000,0.0000,11088888.8889,0.0000,50000.0000,11111.1111,11111.1111,0.0000,0.0026
ijk_ikj_150_10,31333333.3333,10666666.6667,8888888.8889,0.0000,0.0000,6555555.5556,0.0000,38888.8889,0.0000,0.0000,5555.5556,0.0012
ijk_200,30000000.0000,31111111.1111,26444444.4444,0.0000,0.0000,18266666.6667,644444.4444,527777.7778,38888.8889,27777.7778,0.0000,0.0027
ikj_250,28888888.8889,13555555.5556,10888888.8889,0.0000,0.0000,2488888.8889,222222.2222,750000.0000,50000.0000,77777.7778,0.0000,0.0047
ijk_ikj_150_15,26666666.6667,8666666.6667,6222222.2222,0.0000,0.0000,8511111.1111,22222.2222,38888.8889,5555.5556,0.0000,0.0000,0.0011
ijk_ikj_150_30,22222222.2222,7333333.3333,6444444.4444,0.0000,0.0000,7200000.0000,0.0000,11111.1111,0.0000,0.0000,0.0000,0.0013
ijk_ikj_150_25,21333333.3333,7555555.5556,5555555.5556,0.0000,0.0000,7911111.1111,0.0000,11111.1111,0.0000,5555.5556,0.0000,0.0009
ikj_200,14000000.0000,5777777.7778,4666666.6667,0.0000,0.0000,3911111.1111,422222.2222,266666.6667,0.0000,0.0000,0.0000,0.0023
ijk_150,12666666.6667,13777777.7778,10666666.6667,0.0000,0.0000,7688888.8889,200000.0000,205555.5556,0.0000,0.0000,0.0000,0.0012
ijk_ikj_100_10,9111111.1111,3111111.1111,1777777.7778,0.0000,0.0000,2644444.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006
ikj_150,6666666.6667,3333333.3333,2888888.8889,0.0000,0.0000,2111111.1111,177777.7778,61111.1111,0.0000,0.0000,0.0000,0.0012
ijk_ikj_100_20,6666666.6667,2444444.4444,2000000.0000,0.0000,0.0000,2311111.1111,0.0000,5555.5556,0.0000,0.0000,5555.5556,0.0000
ijk_ikj_100_25,6444444.4444,2444444.4444,2222222.2222,0.0000,0.0000,2400000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
